ID,Tên sản phẩm,Giá,Giá gốc,Nhãn (Badge),Mô tả ngắn,Danh mục,Dung tích (Capacity),Thẻ (Tags),Ảnh chính,Ảnh bổ sung,Mô tả chi tiết,Sản phẩm bao gồm,Video URL,Phân loại 1,Phân loại 2
1,YÊU THƯƠNG MINI BOX,109.000đ,,,,Set quà,,"Kỷ niệm, Sinh nhật",yeu-thuong-mini-box-1,"yeu-thuong-mini-box-2, yeu-thuong-mini-box-3, yeu-thuong-mini-box-4, yeu-thuong-mini-box-5, yeu-thuong-mini-box-6, yeu-thuong-mini-box-7, yeu-thuong-mini-box-8, yeu-thuong-mini-box-9, yeu-thuong-mini-box-10","Set Quà Yêu Thương Mini Box – Gói Ghém Cảm Xúc, Trao Gửi Chân Thành
Dành tặng cho nửa kia, bạn bè thân thiết, hoặc tự thưởng cho chính mình vào các dịp sinh nhật, kỷ niệm hay những ngày cần được ""chữa lành"".
Điểm nhấn của sản phẩm nằm ở sự tinh tế: một set quà mini nhưng đầy đủ, trọn vẹn và vô cùng ý nghĩa, giúp bạn trao gửi những thông điệp yêu thương một cách chân thành nhất.","1 x Lọ Yêu Thương bao gồm 50 tờ note do chính bạn tự viết lời nhắn
1 x Bút viết
1 x Thiệp chúc mừng For The Record
1 x Hoa giấy mini hoặc hoa tulip
1 x Hộp & Túi đựng quà",https://drive.google.com/file/d/1DeHN3DwYqAu_XyCbH5Nqcn_sGLmhpSGF/view?usp=sharing,"Note đen - Hoa đỏ, Note màu - Hoa hồng, Note đen - Hoa tulip, Note màu - Hoa tulip","Thiệp I Love You So Much, Thiệp You Are The Best"
2,CỬ NHÂN MINI BOX,119.000 đ,,,,Set quà,,"Kỷ niệm, Tốt nghiệp",cu-nhan-mini-box-1,"cu-nhan-mini-box-2, cu-nhan-mini-box-3, cu-nhan-mini-box-4, cu-nhan-mini-box-5, cu-nhan-mini-box-6, cu-nhan-mini-box-7, cu-nhan-mini-box-8, cu-nhan-mini-box-9, cu-nhan-mini-box-10","Set Quà Cử Nhân Mini Box – Hành Trang Nhỏ, Ý Nghĩa To
Dành tặng cho những người bạn thân, người thương yêu trong ngày lễ tốt nghiệp rực rỡ, Set quà Cử nhân Mini Box là lời chúc mừng tinh tế nhất gửi đến các tân cử nhân.
Điểm nhấn của sản phẩm nằm ở sự tinh tế: một set quà mini nhưng đầy đủ, trọn vẹn và vô cùng ý nghĩa. Một món quà nhỏ nhắn nhưng gói trọn sự chân thành, tiếp thêm động lực cho chặng đường rực rỡ phía trước!","1 x Lọ Cử Nhân bao gồm 50 tờ note do chính bạn tự viết lời nhắn
1 x Bút viết
1 x Thiệp chúc mừng For The Record
1 x Hoa giấy mini hoặc hoa tulip
1 x Hộp & Túi đựng quà",,"Note đen - Hoa đỏ, Note màu - Hoa hồng, Note đen - Hoa tulip, Note màu - Hoa tulip","Thiệp I Love You So Much, Thiệp You Are The Best"
3,GRADUATE BOX,359.000đ,,,,Set quà,,"Kỷ niệm, Tốt nghiệp",graduate-box-1,"granduate-box-2, granduate-box-3, granduate-box-4, granduate-box-5, granduate-box-6, granduate-box-7, granduate-box-8, granduate-box-9","Set quà Graduate Box – Trọn Vẹn Hành Trang Ngày Tốt Nghiệp
Dành tặng bạn thân, người thương hay đồng nghiệp trong ngày lễ tốt nghiệp trọng đại, Graduate Box là lời chúc mừng vô cùng tinh tế và thiết thực.
Set quà ghi điểm bởi sự hữu dụng vượt trội với bộ sáu món hoàn hảo đồng hành cùng ngày đi làm sắp tới: bình giữ nhiệt, sổ, bút, khung ảnh kỷ niệm, lọ cử nhân ý nghĩa và bó hoa mini ngọt ngào. Set quà có 02 phiên bản màu sắc tinh tế, phù hợp cho cả nam và nữ. ","1 x Sổ tay Crabit khổ A5
1 x Bình giữ nhiệt Coffee dung tích 400ml
1 x Lọ Cử nhân bao gồm 50 tờ note do chính bạn tự viết lời nhắn
1 x Bút viết
1 x Hoa giấy mini 
1 x Khung Ảnh A5 cá nhân hóa
1 x Ảnh in theo yêu cầu kích thước 6x9cm
1 x Thiệp chúc mừng kích thước 12x18cm
1 x Hộp & Túi giấy đựng quà ",https://drive.google.com/file/d/1yJZTEhC_fOBls6vQ6xykWJSlo6tGjybx/view?usp=sharing,"Box Trắng, Box Đen",
